center_code,transfer_type
DC10145,"drop_off,courier,rider"
CC10492,"drop_off,courier,rider"
DC6266,"drop_off,courier,rider"
CC7389,"drop_off,courier,rider"
DC2094,"drop_off,courier,rider"
CC3335,"drop_off,courier,rider"
CC12683,"drop_off,courier,rider"
F1144,"drop_off,courier,rider"
CC11718,"drop_off,courier,rider"
CC13100,"drop_off,courier,rider"
CC12913,"drop_off,courier,rider"
CC8871,"drop_off,courier,rider"
CC4647,"drop_off,courier,rider"
DC8280,"drop_off,courier,rider"
CC9231,"drop_off,courier,rider"
CC6286,"drop_off,courier,rider"
DC7371,"drop_off,courier,rider"
CC7387,"drop_off,courier,rider"
DC11642,"drop_off,courier,rider"
DC11843,"drop_off,courier,rider"
CC12397,"drop_off,courier,rider"
DC10536,"drop_off,courier,rider"
DC10392,"drop_off,courier,rider"
DC10739,"drop_off,courier,rider"
DC10813,"drop_off,courier,rider"
F757,"drop_off,courier,rider"
DC4680,"drop_off,courier,rider"
DC11431,"drop_off,courier,rider"
CC12646,"drop_off,courier,rider"
CC5678,"drop_off,courier,rider"
DC13257,"drop_off,courier,rider"
DC3815,"drop_off,courier,rider"
DC9200,"drop_off,courier,rider"
CC12435,"drop_off,courier,rider"
DC9995,"drop_off,courier,rider"
DC11728,"drop_off,courier,rider"
DC13614,"drop_off,courier,rider"
DC11216,"drop_off,courier,rider"
CC3506,"drop_off,courier,rider"
DC10698,"drop_off,courier,rider"
DC7453,"drop_off,courier,rider"
DC10442,"drop_off,courier,rider"
DC6647,"drop_off,courier,rider"
DC10937,"drop_off,courier,rider"
DC11548,"drop_off,courier,rider"
CC7077,"drop_off,courier,rider"
DC9579,"drop_off,courier,rider"
DC10641,"drop_off,courier,rider"
DC12820,"drop_off,courier,rider"
DC2957,"drop_off,courier,rider"
DC10901,"drop_off,courier,rider"
DC5568,"drop_off,courier,rider"
DC4553,"drop_off,courier,rider"
DC2467,"drop_off,courier,rider"
DC10612,"drop_off,courier,rider"
DC5748,"drop_off,courier,rider"
DC3280,"drop_off,courier,rider"
CC12774,"drop_off,courier,rider"
OLC13306,"drop_off,courier,rider"
DC6792,"drop_off,courier,rider"
DC4098,"drop_off,courier,rider"
DC12666,"drop_off,courier,rider"
CC5019,"drop_off,courier,rider"
DC2555,"drop_off,courier,rider"
DC8201,"drop_off,courier,rider"
CC12138,"drop_off,courier,rider"
DC12689,"drop_off,courier,rider"
DC3791,"drop_off,courier,rider"
DC5696,"drop_off,courier,rider"
DC10137,"drop_off,courier,rider"
DC8545,"drop_off,courier,rider"
DC12721,"drop_off,courier,rider"
DC11196,"drop_off,courier,rider"
DC6781,"drop_off,courier,rider"
DC5769,"drop_off,courier,rider"
DC3724,"drop_off,courier,rider"
DC5499,"drop_off,courier,rider"
CC11791,"drop_off,courier,rider"
CC7155,"drop_off,courier,rider"
DC10147,"drop_off,courier,rider"
DC5614,"drop_off,courier,rider"
DC12155,"drop_off,courier,rider"
DC9976,"drop_off,courier,rider"
DC10460,"drop_off,courier,rider"
F864,"drop_off,courier,rider"
CC13367,"drop_off,courier,rider"
GELAB3499,"drop_off,courier,rider"
DC10104,"drop_off,courier,rider"
DC10850,"drop_off,courier,rider"
DC10423,"drop_off,courier,rider"
DC7702,"drop_off,courier,rider"
CC8867,"drop_off,courier,rider"
DC11606,"drop_off,courier,rider"
DC13464,"drop_off,courier,rider"
CC11884,"drop_off,courier,rider"
DC4652,"drop_off,courier,rider"
DC10018,"drop_off,courier,rider"
CC11297,"drop_off,courier,rider"
DC12890,"drop_off,courier,rider"
